"hisco","status","relation","age","sex"
30000,NA,NA,42,"male"
30000,NA,NA,44,"male"
30000,NA,NA,45,"male"
30000,NA,NA,50,"male"
30000,NA,NA,53,"male"
30000,NA,NA,56,"male"
30000,NA,NA,57,"male"
30000,NA,NA,64,"male"
30000,NA,NA,66,"male"
30000,NA,NA,69,"male"
30000,NA,NA,70,"male"
30000,NA,NA,73,"male"
30000,NA,NA,75,"male"
30000,NA,NA,76,"male"
99999,NA,NA,19,"female"
99999,NA,NA,20,"female"
54020,NA,NA,24,"female"
54020,NA,NA,26,"female"
54020,NA,NA,27,"female"
99999,NA,NA,16,"male"
99999,NA,NA,17,"male"
99999,NA,NA,20,"male"
83110,NA,NA,26,"male"
83110,NA,NA,28,"male"
83110,NA,NA,31,"male"
83110,NA,NA,32,"male"
83110,NA,NA,34,"male"
83110,NA,NA,35,"male"
83110,NA,NA,37,"male"
83110,NA,NA,38,"male"
83110,NA,NA,41,"male"
83110,NA,NA,44,"male"
83110,NA,NA,47,"male"
83110,NA,NA,50,"male"
83110,NA,NA,52,"male"
99999,NA,NA,15,"male"
99999,NA,NA,17,"male"
99999,NA,NA,18,"male"
99999,NA,NA,20,"male"
99999,NA,NA,22,"male"
99999,NA,NA,23,"male"
99999,NA,NA,25,"male"
99999,NA,NA,26,"male"
3110,NA,NA,32,"male"
3110,NA,NA,35,"male"
3110,NA,NA,36,"male"
3110,NA,NA,41,"male"
3110,NA,NA,42,"male"
45130,NA,NA,44,"male"
83110,NA,NA,26,"male"
54020,NA,NA,16,"female"
99999,NA,NA,22,"female"
99999,NA,NA,25,"female"
99999,NA,NA,26,"female"
99999,NA,NA,28,"female"
99999,NA,NA,31,"female"
99999,NA,NA,32,"female"
99999,NA,NA,37,"female"
99999,NA,NA,43,"female"
99999,NA,NA,45,"female"
99999,NA,NA,46,"female"
99999,NA,NA,48,"female"
99999,NA,NA,51,"female"
99999,NA,NA,52,"female"
99999,NA,NA,55,"female"
99999,NA,NA,61,"female"
99999,NA,NA,62,"female"
99999,NA,NA,67,"female"
99999,NA,NA,70,"female"
99999,NA,NA,15,"female"
NA,NA,NA,16,"female"
55220,NA,NA,45,"female"
55220,NA,NA,46,"female"
55220,NA,NA,48,"female"
55220,NA,NA,49,"female"
55220,NA,NA,51,"female"
-2,NA,NA,54,"female"
-2,NA,NA,56,"female"
-2,NA,NA,57,"female"
-2,NA,NA,59,"female"
-2,NA,NA,61,"female"
-2,NA,NA,63,"female"
-2,NA,NA,64,"female"
-2,NA,NA,66,"female"
-2,NA,NA,67,"female"
54020,NA,NA,17,"female"
54020,NA,NA,19,"female"
54020,NA,NA,22,"female"
99999,NA,NA,24,"female"
99999,NA,NA,25,"female"
99999,NA,NA,28,"female"
99999,NA,NA,30,"female"
99999,NA,NA,31,"female"
99999,NA,NA,33,"female"
99999,NA,NA,34,"female"
99999,NA,NA,36,"female"
99999,NA,NA,37,"female"
99999,NA,NA,40,"female"
99999,NA,NA,42,"female"
99999,NA,NA,51,"female"
